ingr_wrds
apple sliced optional
apples peeled and thinly sliced
banana or more to taste sliced
banana sliced
bananas peeled and sliced
bananas sliced
bananas sliced inch thick
butter flavored cooking spray such as pamxae
clove garlic crushed
cooking spray
count package hawaiian bread rolls such as kingsxae
cup all purpose flour
cup applesauce
cup apricot all fruit spread
cup apricot preserves or jam
cup archer farmsu oregon strawberry preserves
cup beaten eggs
cup blueberries
cup bottled pina colada drink mix
cup brown sugar
cup butter
cup butter confectioners sugar for dusting
cup butter cut into inch cubes
cup butter melted
cup butter or margarine
cup butter or margarine melted
cup butter or more as needed
cup canned pumpkin puree
cup chocolate hazelnut spread such as nutellaxae
cup chocolate milk
cup chopped fresh pineapple drained
cup chopped peanuts
cup chopped pecans
cup chopped toasted pecans
cup chopped walnuts
cup chopped walnuts or pecans
cup coconut milk
cup confectioners sugar
cup confectioners sugar for dusting
cup cornflakes cereal crumbled
cup cornflakes cereal crumbs
cup cottage cheese whipped
cup cream cheese spread
cup creamy peanut butter
cup crushed pineapple drained
cup crushed pineapple undrained
cup dried apricots chopped french toast
cup dried cranberries or raisins
cup egg beaters
cup egg beatersxae original
cup egg substitute
cup english toffee bits or almond brickle chips
cup evaporated milk
cup evaporated skim milk
cup fat free egg product
cup fat free egg substitute
cup fat free half and half whipping cream or milk
cup fat free milk
cup fat free skim milk
cup fat free vanilla yogurt optional garnish fresh mint sprigs
cup fat milk
cup finely chopped walnuts
cup firmly packed brown sugar
cup fresh blueberries
cup fresh orange juice
cup fresh pineapple sage leaves
cup frozen butter
cup grated parmesan cheese
cup half and half
cup half and half cream
cup heavy cream
cup heavy whipping cream
cup hersheyxaes milk chocolate chips or hersheyxaes cinnamon chips
cup irish cream liqueur
cup jifxae creamy peanut butter
cup light brown sugar
cup light corn syrup
cup liquid egg substitute
cup low fat milk
cup low fat ricotta cheese
cup maple flavored syrup
cup maple syrup
cup maple syrup or to taste
cup mascarpone cheese
cup mashed fresh strawberries
cup milk
cup milk divided
cup milk ground black pepper to taste
cup nestlexae carnationxae evaporated fat free milk
cup nonfat milk
cup nonfat or low fat plain yogurt
cup oil for frying
cup orange juice
cup orange marmalade
cup packed brown sugar
cup peanut butter
cup pecan halves optional
cup powdered sugar
cup pure maple syrup
cup pure maple syrup sauce
cup quick cooking rolled oats
cup raspberries
cup raspberry puree
cup reduced calorie pancake syrup
cup reduced fat milk
cup ricotta cheese
cup seedless raspberry jam
cup shredded mozzarella cheese
cup shredded swiss cheese
cup skim milk
cup sliced almonds optional
cup sliced fresh strawberries
cup slivered almonds
cup smuckersxae apricot preserves
cup softened cream cheese
cup splendaxae no calorie sweetener granulated
cup strawberries sliced
cup strawberry preserves
cup sugar
cup toasted hazelnuts chopped
cup toasted pecan pieces
cup toasted sliced almonds for garnish
cup tomato chutney
cup unsalted butter
cup unsweetened cocoa powder
cup vegetable oil for frying
cup water
cup whipped cream
cup whipping cream
cup white sugar
cup whole milk
cups apricot nectar
cups archer farmsu muesli cereal crushed
cups confectioners sugar
cups cornflakes cereal
cups cornflakes cereal finely crushed
cups cornflakes finely crushed
cups crushed cornflakes
cups cubed french bread inch cubes
cups egg substitute
cups eggnog
cups fat free milk divided
cups fresh sliced strawberries divided non stick cooking spray powdered sugar maple syrup
cups fresh strawberries hulled divided
cups half and half
cups half and half cream
cups heavy cream divided
cups low fat milk
cups maple syrup
cups milk
cups milk divided
cups mixed berries maple syrup for serving
cups mixed berries such as blackberries raspberries and blueberries
cups mixed fresh berries raspberries strawberries blueberries sliced if large
cups mixed fresh berries strawberries raspberries blueberries andor blackberries
cups reesesxae puffsxae cereal
cups shredded sharp cheddar cheese
cups skim milk
cups sliced fresh peaches
cups sliced fresh strawberries
cups vegetable oil for deep frying
cups whole grain wheat and barley cereal or coarsely crushed bran flakes
cups whole milk
dash ground nutmeg
dash salt
dashes ground cinnamon or to taste
dashes ground nutmeg or to taste
egg
egg beaten
egg white
egg whites
eggs
eggs beaten
eggs beaten slightly
eggs lightly beaten
eggs plus
eggs vegetable oil cooking spray or butter or margarine
extra large eggs beaten
firm bananas sliced
for french toast
french baguette
french baguette cut into inch slices
fresh peaches
fruit
granny smith apples peeled cored and sliced inch thick
hersheys dark chocolate kisses unwrapped strawberry jam archer farmsu cinnamon
inch slices brioche
inch slices egg bread
inch thick slices day old french bread
inch thick slices french bread
inch thick slices italian bread
inch thick slices kings hawaiianxae sweet bread
inch thick slices of white bread
large egg beaten
large egg whites
large eggs
large eggs beaten
large ripe pears cored and sliced
lemon zested
less fat than cream cheese
loaf archer farmsu whole grain white bread cut into inch chunks
loaf archer farmsxae artisan baguette bread cut into inch chunks
loaf banana bread confectioners sugar for dusting optional
loaf day old french bread
