title,ingr_full,quant,units,cut,ingr,category
french-toast-fruit-kabobs-with-dip,2 eggs,2,,,eggs,
french-toast-i,2 eggs,2,,,eggs,
french-toast-ii,4 eggs,4,,,eggs,
french-toast-souffle,8 eggs,8,,,eggs,
french-toast-stars,2 eggs,2,,,eggs,
french-toast-strata-with-apples-and-raisins,4 eggs,4,,,eggs,
french-toast-strata-with-apples-and-raisins-1,4 eggs,4,,,eggs,
french-toast-with-maple-apples,3 large eggs,3,,,eggs,
french-toast-with-mixed-berries-with-truvia-natural-sweetener,1/2 cup fat-free egg product,0.5,cups,,eggs,
french-toast-with-peanut-butter-maple-syrup,1 egg,1,,,eggs,
french-toasted-mozzarella-and-prosciutto-sandwiches,"2 large eggs, lightly beaten",2,,,eggs,
fruity-french-toast-sandwiches,1 large egg,1,,,eggs,
german-french-toast,2 eggs,2,,,eggs,
gils-brioche-french-toast,6 eggs,6,,,eggs,
gingerbread-french-toast,2 eggs,2,,,eggs,
granola-peanut-butter-french-toast,4 eggs,4,,,eggs,
haitian-french-toast,2 eggs,2,,,eggs,
ham-and-provolone-stuffed-french-toast,"1 large egg, beaten",1,,,eggs,
hazelnut-french-toast,1 cup beaten eggs,1,cups,,eggs,
holiday-morning-french-toast,6 large eggs,6,,,eggs,
incredibly-sweet-and-aromatic-french-toast,3 eggs,3,,,eggs,
italian-french-toast,6 eggs,6,,,eggs,
jacks-french-toast,1 egg,1,,,eggs,
karens-baked-banana-stuffed-french-toast,2 eggs,2,,,eggs,
kerrys-french-toast,"6 extra large eggs, beaten",6,,,eggs,
lemon-cream-stuffed-french-toast-with-streusel-topper-and-fresh-blueberries,8 eggs,8,,,eggs,
lorena-garcias-crispy-french-toast,4 large eggs,4,,,eggs,
made-over-french-toast-with-spiced-pears,2 large eggs,2,,,eggs,
make-ahead-cinnamon-french-toast,"5 eggs, beaten",5,,,eggs,
make-ahead-french-toast,"5 eggs, lightly beaten",5,,,eggs,
mascarpone-stuffed-french-toast-with-peaches,6 eggs,6,,,eggs,
mccormick-stuffed-french-toast,5 eggs,5,,,eggs,
no-fry-french-toast,1 slightly beaten egg,1,,,eggs,
nutella-stuffed-french-toast,"1 large egg, beaten",1,,,eggs,
orange-french-toast,"6 eggs, lightly beaten",6,,,eggs,
orange-pecan-french-toast,2 eggs,2,,,eggs,
original-recipe-french-toast,4 large eggs,4,,,eggs,
oven-baked-caramel-french-toast,6 eggs,6,,,eggs,
overnight-apple-cinnamon-french-toast,6 eggs,6,,,eggs,
overnight-blueberry-french-toast,"12 eggs, beaten",12,,,eggs,
overnight-caramel-french-toast,6 eggs,6,,,eggs,
overnight-eggnog-french-toast,8 eggs,8,,,eggs,
overnight-french-toast,9 eggs,9,,,eggs,
overnight-french-toast-i,12 eggs,12,,,eggs,
overnight-french-toast-ii,5 eggs,5,,,eggs,
overnight-gingerbread-french-toast,3 eggs,3,,,eggs,
patriotic-french-toast,"2 eggs, beaten",2,,,eggs,
pbj-french-toast,4 eggs,4,,,eggs,
peach-french-toast,5 eggs,5,,,eggs,
peanut-butter-and-jelly-french-toast,3 eggs,3,,,eggs,
peanut-butter-crunch-french-toast,"4 large eggs, beaten",4,,,eggs,
peanut-butter-french-toast,3 eggs,3,,,eggs,
pecan-french-toast,4 eggs,4,,,eggs,
pineapple-french-toast,"4 eggs, beaten",4,,,eggs,
pineapple-sage-scented-challah-french-toast,"1 egg, beaten",1,,,eggs,
pineapple-stuffed-french-toast,1 egg,1,,,eggs,
poppy-seed-french-toast,3 eggs,3,,,eggs,
portuguese-bread-french-toast,5 eggs,5,,,eggs,
praline-pecan-french-toast,6 eggs,6,,,eggs,
praline-pecan-french-toast,8 eggs,8,,,eggs,
pumpkin-pie-french-toast,3 large eggs,3,,,eggs,
raspberry-cheesecake-stuffed-french-toast,"4 eggs, beaten",4,,,eggs,
raspberry-stuffed-french-toast-with-custard-sauce,"2 eggs, plus",2,,,eggs,
red-kisses-french-toast,3 large eggs,3,,,eggs,
savory-parmesan-french-toast,4 eggs,4,,,eggs,
simple-french-toast-in-a-cup,"1 egg, beaten",1,,,eggs,
skiers-french-toast,5 eggs,5,,,eggs,
smuckers-stuffed-french-toast,"4 large eggs, beaten",4,,,eggs,
snow-day-french-toast,2 eggs,2,,,eggs,
stouffers-baked-french-toast,3 eggs,3,,,eggs,
strawberry-banana-french-toast,"5 eggs, lightly beaten",5,,,eggs,
strawberry-cheesecake-french-toast,6 eggs,6,,,eggs,
strawberry-cream-cheese-french-toast,12 large eggs,12,,,eggs,
strawberry-french-toast,"3 eggs, beaten",3,,,eggs,
strawberry-ricotta-stuffed-whole-grain-french-toast,"4 large eggs, beaten",4,,,eggs,
stuffed-french-toast,2 eggs,2,,,eggs,
stuffed-french-toast,4 eggs,4,,,eggs,
stuffed-french-toast-i,4 eggs,4,,,eggs,
stuffed-french-toast-ii,"5 eggs, beaten",5,,,eggs,
stuffed-french-toast-with-fresh-berry-topping,3 large eggs,3,,,eggs,
sweet-french-toast,3 eggs,3,,,eggs,
three-cheese-stuffed-french-toast,"2 eggs, lightly beaten",2,,,eggs,
toffee-apple-french-toast,5 eggs,5,,,eggs,
ultimate-french-toast,4 eggs,4,,,eggs,
valentines-day-french-toast,8 eggs,8,,,eggs,
vanilla-almond-spiced-french-toast,4 large eggs,4,,,eggs,
vanilla-french-toast,2 eggs,2,,,eggs,
waffled-french-toast,1 egg,1,,,eggs,
whole-grain-french-toast-and-tropical-fruit-kabobs,"2 large eggs, beaten",2,,,eggs,
whole-grain-french-toast-with-nutmeg-scented-fruit,2 eggs,2,,,eggs,
wife-saver-french-toast,2 eggs,2,,,eggs,
yummy-french-toast,3 large eggs,3,,,eggs,
a-surprise-inside-french-toast,1/4 cup evaporated milk,0.25,cups,,evaporated milk,
baked-french-toast-with-home-style-syrup,1 (5 ounce) can evaporated milk,1,ounces,,evaporated milk,
cinnamon-french-toast,1/2 cup evaporated skim milk,0.5,cups,,evaporated milk,
stuffed-french-toast-with-fresh-berry-topping,2/3 cup nestle\xae carnation\xae evaporated fat free milk,0.67,cups,,evaporated milk,
baked-coconut-french-toast,1/2 cup sweetened flaked coconut,0.5,cups,,flaked coconut,
almond-french-toast,3 tablespoons all-purpose flour,3,tablespoons,,flour,
apple-pie-french-toast,2 1/2 tablespoons all-purpose flour,1,tablespoons,,flour,
baked-french-toast,1/4 cup all-purpose flour,0.25,cups,,flour,
deep-fried-french-toast,1 cup all-purpose flour,1,cups,,flour,
fluffy-french-toast,1/4 cup all-purpose flour,0.25,cups,,flour,
french-toast-with-almonds,3 tablespoons all-purpose flour,3,tablespoons,,flour,
wife-saver-french-toast,1 tablespoon all-purpose flour,1,tablespoons,,flour,
french-toast-with-mixed-berries-with-truvia-natural-sweetener,6 slices flourless sprouted 100% whole grain bread,6,slices,,flourless sprouted bread,bread
stuffed-french-toast-with-fresh-berry-topping,12 slices (about 3/4-inch thick) french bread,12,slices,,french bread,
a-surprise-inside-french-toast,6 (2 inch thick) slices french bread,12,slices,2” slices,french bread,bread
almond-french-toast,12 thick slices french bread,12,slices,,french bread,bread
apple-cinnamon-baked-french-toast,10 (3/4 inch thick) slices day-old french bread,10,slices,0.75” slices,french bread,bread
baked-blueberry-french-toast,24 slices day-old french bread,24,slices,,french bread,bread
baked-cinnamon-french-toast,8 (1 inch thick) slices french or italian bread (about 3- to 4-inches in diameter),8,,1” slices,french bread,bread
baked-coconut-french-toast,"16 (1 inch thick) slices french bread, cut diagonally",16,slices,1” slices,french bread,bread
baked-french-toast,"1 (1 pound) loaf french bread, sliced",1,pound,,french bread,bread
baked-french-toast,"1 (1 pound) loaf french bread, cut diagonally in 1 inch slices",1,pounds,1” slices,french bread,bread
baked-french-toast,8 sweet french or challah bread,8,,,french bread,bread
baked-french-toast-with-home-style-syrup,12 slices day-old french bread,12,slices,,french bread,bread
baked-french-toast-with-orange-syrup,8 (1/2-inch-thick) slices french bread,8,slices,0.5” slices,french bread,bread
banana-stuffed-french-toast,"1 (1 pound) loaf french bread, cut into 1 inch slices",1,slices,1” slices,french bread,bread
blueberry-french-toast-cobbler,10 (3/4 inch thick) slices day-old french bread,10,slices,0.75” slices,french bread,bread
brunch-baked-french-toast,"1 (16 ounce) loaf french bread, cut into 1-inch slices",16,slices,1” slices,french bread,bread
chef-johns-french-toast,6 (1 inch thick) slices french bread,6,slices,1” slices,french bread,bread
creme-brulee-french-toast,6 (1-inch thick) slices french bread,6,slices,1” slices,french bread,bread
crispy-french-toast,12 (3/4 inch thick) slices day-old french bread,12,slices,0.75” slices,french bread,bread
deep-fried-french-toast,8 thick slices (1-inch thick) french bread,8,slices,1” slices,french bread,bread
easy-pina-colada-french-toast,12 (1/2 inch thick) slices french bread,12,slices,0.5” slices,french bread,bread
eggnog-french-toast,12 slices french bread,12,slices,,french bread,bread
eggnog-french-toast,24 (3/4 inch thick) slices french bread,24,slices,0.75” slices,french bread,bread
fabulous-frosted-french-toast,"1 (1 pound) loaf french bread, cut into 3/4 inch slices",1,slices,0.75” slices,french bread,bread
family-style-french-toast,"1 (1 pound) loaf french bread, cut into 1 inch slices, confectioners' sugar",1,slices,1” slices,french bread,bread
freezer-french-toast,10 (3/4 inch thick) slices day-old french bread,10,slices,0.75” slices,french bread,bread
karens-baked-banana-stuffed-french-toast,8 slices french bread,8,slices,,french bread,bread
lemon-cream-stuffed-french-toast-with-streusel-topper-and-fresh-blueberries,1 (16 ounce) loaf french bread,16,ounces,,french bread,bread
make-ahead-cinnamon-french-toast,1 loaf day-old french bread,1,loaves,,french bread,bread
make-ahead-french-toast,"1/2 (1 pound) loaf french bread, cut diagonally in 1 inch slices",0.5,pounds,1” slices,french bread,bread
no-fry-french-toast,8 (1 inch thick) slices firm-textured french bread,8,slices,1” slices,french bread,bread
orange-pecan-french-toast,12 (3/4 inch thick) slices french bread,12,slices,0.75” slices,french bread,bread
oven-baked-caramel-french-toast,12 slices french or italian-style bread,12,slices,,french bread,bread
overnight-eggnog-french-toast,"1 loaf french bread, cut into 1-inch slices",1,slices,1” slices,french bread,bread
overnight-french-toast,"24 (3/4 inch thick) slices french bread, praline syrup:",24,slices,0.75” slices,french bread,bread
overnight-french-toast-ii,"1 (1 pound) loaf french bread, sliced",1,pound,,french bread,bread
overnight-gingerbread-french-toast,"1 loaf french bread, cut into 3/4-inch slices",0.75,,0.75” slices,french bread,bread
peach-french-toast,12 (3/4 inch thick) slices day-old french bread,12,slices,0.75” slices,french bread,bread
pineapple-french-toast,10 (3/4 inch thick) slices french bread,10,slices,0.75” slices,french bread,bread
praline-pecan-french-toast,"1 (12 ounce) loaf french bread, sliced 1-inch thick",12,ounces,1” slices,french bread,bread
praline-pecan-french-toast,8 slices french bread,8,slices,,french bread,bread
smuckers-stuffed-french-toast,1 (1 pound) loaf french bread,1,pound,,french bread,bread
strawberry-banana-french-toast,10 (1 inch thick) slices day-old french bread,10,slices,1” slices,french bread,bread
stuffed-french-toast,8 (1 inch thick) slices french bread,8,slices,1” slices,french bread,bread
stuffed-french-toast-i,1 (1 pound) loaf french bread,1,pound,,french bread,bread
three-cheese-stuffed-french-toast,8 (2 inch thick) slices french bread,8,slices,2” slices,french bread,bread
toffee-apple-french-toast,8 cups cubed french bread (1 inch cubes),8,cups,cubes-1”,french bread,bread
wife-saver-french-toast,10 slices french bread,10,slices,,french bread,bread
french-toast-fruit-kabobs-with-dip,"fresh fruit such as strawberries, kiwi, pineapple, bananas",,,,fruit,
french-toast-fruit-kabobs-with-dip,1 tablespoon smucker's\xae simple blends\xae summer fruit fruit spread,1,tablespoons,,fruit,
whole-grain-french-toast-with-nutmeg-scented-fruit,fruit,,,,fruit,
french-toast-apple-cobbler,1 (21 ounce) can lucky leaf\xae premium apple fruit filling,21,ounces,,fruit filling,
lemon-cream-stuffed-french-toast-with-streusel-topper-and-fresh-blueberries,1 (22 ounce) can lucky leaf\xae lemon fruit filling,22,ounces,,fruit filling,
overnight-apple-cinnamon-french-toast,2 (21 ounce) cans apple pie filling,42,ounces,,fruit filling,
french-toast-with-mixed-berries-with-truvia-natural-sweetener,1 tablespoon truvia\xae natural sweetener spoonable,1,tablespoons,,fruit spread,
italian-french-toast,"1 clove garlic, crushed",1,clove,,garlic,
chucks-molasses-french-toast,1 pinch ground ginger,1,pinches,,ginger,
gingerbread-french-toast,1/8 teaspoon ground ginger,0.13,teaspoons,,ginger,
made-over-french-toast-with-spiced-pears,1/4 teaspoon ground ginger,0.25,teaspoons,,ginger,
made-over-french-toast-with-spiced-pears,1/4 teaspoon ground ginger,0.25,teaspoons,,ginger,
overnight-gingerbread-french-toast,1 teaspoon ground ginger,1,teaspoons,,ginger,
three-cheese-stuffed-french-toast,2 teaspoons ground ginger,2,teaspoons,,ginger,
stuffed-french-toast,"1 1/2 teaspoons ground ginger, apricot syrup:",0.5,teaspoons,,ginger apricot syrup,
granola-peanut-butter-french-toast,4 nature valley\xae peanut butter crunchy granola bars,4,,,granola bars,
apple-raisin-french-toast-strata,2 1/2 cups half-and-half cream,1,cups,,half and half,
baked-french-swirl-toast,3 cups half-and-half or milk,3,cups,,half and half,
baked-french-toast,1 1/2 cups half-and-half cream,0.5,cups,,half and half,
baked-french-toast-with-maple-syrup-and-granola,1 quart half-and-half cream,1,quarts,,half and half,
caribbean-cruise-stuffed-french-toast,"3/4 cup fat-free half and half, whipping cream or milk",0.75,cups,,half and half,
creme-brulee-french-toast,1 1/2 cups half-and-half cream,0.5,cups,,half and half,
creme-brulee-french-toast,3 cups half and half,3,cups,,half and half,
creme-brulee-french-toast,3 cups half-and-half,3,cups,,half and half,
eggnog-french-toast,3 cups half-and-half cream,3,cups,,half and half,
french-toast-sandwiches,1/4 cup fat free half-and-half,0.25,cups,,half and half,
french-toast-sandwiches,1/4 cup fat free half-and-half,0.25,cups,,half and half,
french-toast-souffle,2/3 cup half-and-half cream,0.67,cups,,half and half,
french-toast-strata-with-apples-and-raisins,1 1/2 cups fat-free half-and-half,0.5,cups,,half and half,
french-toast-strata-with-apples-and-raisins,1 cup half-and-half cream,1,cups,,half and half,
french-toast-strata-with-apples-and-raisins-1,1 1/2 cups fat-free half-and-half,0.5,cups,,half and half,
french-toast-strata-with-apples-and-raisins-1,1 cup half-and-half cream,1,cups,,half and half,
hazelnut-french-toast,1 cup half-and-half,1,cups,,half and half,
lorena-garcias-crispy-french-toast,3/4 cup half-and-half,0.75,cups,,half and half,
make-ahead-french-toast,1 cup half-and-half cream,1,cups,,half and half,
orange-french-toast,1/2 cup half-and-half cream,0.5,cups,,half and half,
praline-pecan-french-toast,1 1/2 cups half-and-half,0.5,cups,,half and half,
praline-pecan-french-toast,1 1/2 cups half-and-half,0.5,cups,,half and half,
pumpkin-pie-french-toast,1/2 cup half-and-half cream,0.5,cups,,half and half,
smuckers-stuffed-french-toast,1 cup half-and-half,1,cups,,half and half,
strawberry-cream-cheese-french-toast,2 cups half-and-half,2,cups,,half and half,
cheesy-french-toast,8 ounces sliced ham,8,ounces,,ham,
ham-and-provolone-stuffed-french-toast,2 ounces thinly sliced deli honey baked ham,2,ounces,,ham,
stuffed-french-toast,8 slices oscar mayer shaved honey ham,8,slices,,ham,
bananas-foster-french-toast,1/2 (12 count) package hawaiian bread rolls (such as king's\xae),6,,,hawaiian bread rolls,bread
original-recipe-french-toast,4 (1 inch thick) slices king's hawaiian\xae sweet bread,4,slices,1” slices,hawaiian bread rolls ,bread
hazelnut-french-toast,2 tablespoons hazelnut liqueur (such as frangelico\xae),2,tablespoons,,hazelnut liqueur,
hazelnut-french-toast,"1 cup toasted hazelnuts, chopped",1,cups,,hazelnuts,
captains-crunch-french-toast,1 cup heavy cream,1,cups,,heavy cream,
chucks-molasses-french-toast,1/2 cup heavy cream,0.5,cups,,heavy cream,
french-toast-stars,1/4 cup heavy cream,0.25,cups,,heavy cream,
gils-brioche-french-toast,"2 cups heavy cream, divided",2,cups,,heavy cream,
peanut-butter-crunch-french-toast,1/4 cup heavy cream,0.25,cups,,heavy cream,
haitian-french-toast,1/2 cup heavy whipping cream,0.5,cups,,heavy whipping cream,
red-kisses-french-toast,"10 hershey's dark chocolate kisses, unwrapped",10,,,hershey’s dark choclate kisses,
whole-grain-french-toast-and-tropical-fruit-kabobs,honey (optional),,,,honey,
baked-apple-cinnamon-french-toast,3 tablespoons honey,3,tablespoons,,honey,
baked-french-toast-with-orange-syrup,1 tablespoon honey,1,tablespoons,,honey,
easy-oven-baked-french-toast-with-raisin-syrup,1/4 cup honey,0.25,cups,,honey,
french-toast-stars,2 tablespoons honey,2,tablespoons,,honey,
made-over-french-toast-with-spiced-pears,1 tablespoon honey,1,tablespoons,,honey,
made-over-french-toast-with-spiced-pears,3 tablespoons honey,3,tablespoons,,honey,
no-fry-french-toast,1 tablespoon honey,1,tablespoons,,honey,
pineapple-stuffed-french-toast,"2 tablespoons hot fudge sauce, or to taste",2,tablespoons,,hot fudge,
stuffed-french-toast-i,1/4 cup irish cream liqueur,0.25,cups,,irish cream liqueur,
baked-cinnamon-apple-french-toast,"1 loaf italian bread, cut into 1/2-inch slices",0.5,,0.5” slices,italian bread,bread
baked-french-toast-by-marzetti,1 medium loaf italian bread (4 inches in diameter) sliced into 1-inch thick pieces,1,,1” slices,italian bread,bread
blueberry-french-toast,"1 (1 pound) loaf italian bread, cut into 1-inch cubes",1,pounds,cubes-1”,italian bread,bread
cheddar-french-toast-with-dried-fruit-syrup,12 slices italian or french bread (cut diagonally 1-inch thick),12,slices,1” slices,italian bread,bread
holiday-morning-french-toast,"1 loaf italian or french bread, cut into 1-inch slices",,,1” slices,italian bread,bread
mccormick-stuffed-french-toast,16 (1/2 inch thick) slices italian bread,16,slices,0.5” slices,italian bread,bread
pecan-french-toast,"1/2 (1 pound) loaf italian bread, cut into 1 inch slices",0.5,pounds,1” slices,italian bread,bread
strawberry-french-toast,1 loaf italian bread,1,loaves,,italian bread,bread
chocolate-banana-french-toast,jam,,,,jam,
fruity-french-toast-sandwiches,2 tablespoons jam (any flavor),2,tablespoons,,jam,
pbj-french-toast,6 tablespoons mixed berry jam,6,tablespoons,,jam,
peanut-butter-and-jelly-french-toast,6 tablespoons jelly or jam,6,tablespoons,,jam,
whole-grain-french-toast-and-tropical-fruit-kabobs,"18 (1 inch) cubes fresh fruit (kiwi, pineapple, mango)",18,cubes-1-inch,,"kiwi, pineapple, mango",
apple-pie-french-toast,"1 teaspoon lemon juice, or as needed (optional)",1,teaspoons,,lemon juice,
bacon-crusted-fruit-stuffed-french-toast,1/2 teaspoon lemon juice,0.5,teaspoons,,lemon juice,
challah-french-toast-with-berry-sauce,"1 tablespoon fresh lemon juice, garnish: confectioners sugar for dusting",1,tablespoons,,lemon juice,
french-toast-apple-cobbler,2 tablespoons lemon juice,2,tablespoons,,lemon juice,
made-over-french-toast-with-spiced-pears,1 tablespoon lemon juice,1,tablespoons,,lemon juice,
whole-grain-french-toast-with-nutmeg-scented-fruit,2 teaspoons lemon juice,2,teaspoons,,lemon juice,
mascarpone-stuffed-french-toast-with-peaches,"1 lemon, zested",1,,,lemon zest,
whole-grain-french-toast-and-tropical-fruit-kabobs,2 teaspoons fresh lemon zest,2,teaspoons,,lemon zest,
overnight-french-toast,3 cups light cream,3,cups,,light cream,
oo-la-la-french-toast-strata,3/4 teaspoon maple extract,0.75,teaspoons,,maple extract,
baked-french-toast,"1/2 cup margarine, melted",0.5,cups,,margarine,
granola-peanut-butter-french-toast,6 tablespoons marshmallow creme,6,tablespoons,,marshmallow creme,
mascarpone-stuffed-french-toast-with-peaches,1 cup mascarpone cheese,1,cups,,mascarpone cheese,
mascarpone-stuffed-french-toast-with-peaches,4 mexican bolillo rolls,4,,,mexican bolillo rolls,bread
almond-french-toast,1 cup milk,1,cups,,milk,
amazing-slow-cooker-french-toast,1 cup milk,1,cups,,milk,
apple-cinnamon-baked-french-toast,2 3/4 cups milk,1.5,cups,,milk,
apple-cinnamon-french-toast,1/4 cup fat free milk,0.25,cups,,milk,
apple-pie-french-toast,1/4 cup milk,0.25,cups,,milk,
applesauce-french-toast,3/4 cup milk,0.75,cups,,milk,
apres-ski-french-toast,3/4 cup milk,0.75,cups,,milk,
baked-apple-cinnamon-french-toast,3 cups nonfat milk,3,cups,,milk,
baked-blueberry-french-toast,2/3 cup fat-free milk,0.67,cups,,milk,
baked-cinnamon-french-toast,2/3 cup fat-free milk or evaporated fat-free milk,0.67,cups,,milk,
baked-french-toast,2 cups milk,2,cups,,milk,
baked-french-toast,3/4 cup o organics fat free organic milk,0.75,ounces,,milk,
baked-french-toast-by-marzetti,1/2 cup milk,0.5,cups,,milk,
baked-french-toast-with-home-style-syrup,1 cup milk,1,cups,,milk,
baked-french-toast-with-orange-syrup,1 cup reduced fat milk,1,cups,,milk,
banana-french-toast-breakfast-sandwiches,1 tablespoon nonfat milk,1,tablespoons,,milk,
banana-french-toast-breakfast-sandwiches,1 tablespoon nonfat milk,1,tablespoons,,milk,
banana-raisin-french-toast,1/4 cup nonfat milk,0.25,cups,,milk,
banana-stuffed-french-toast,1 tablespoon milk,1,tablespoons,,milk,
bananas-foster-french-toast,3/4 cup milk,0.75,cups,,milk,
best-oven-baked-french-toast,1/2 cup milk,0.5,cups,,milk,
blueberry-french-toast,2 cups milk,2,cups,,milk,
blueberry-french-toast-cobbler,1/2 cup milk,0.5,cups,,milk,
blueberry-stuffed-french-toast,3 cups milk,3,cups,,milk,
brunch-baked-french-toast,1 cup milk,1,cups,,milk,
captains-crunch-french-toast,1/2 cup 2% low-fat milk,0.5,cups,,milk,
caramel-french-toast,1 1/2 cups milk,0.5,cups,,milk,
caramelized-french-toast,1/2 cup milk,0.5,cups,,milk,
challah-french-toast-with-berry-sauce,1 cup whole milk,1,cups,,milk,
cheddar-french-toast-with-dried-fruit-syrup,2 cups milk,2,cups,,milk,
cheesy-french-toast,1/4 cup milk,0.25,cups,,milk,
chef-johns-french-toast,1/2 cup milk,0.5,cups,,milk,
chocolate-french-toast,1 cup milk,1,cups,,milk,
chocolate-french-toast,1 cup milk,1,cups,,milk,
cinnamon-accented-french-toast,1 teaspoon milk,1,teaspoons,,milk,
cinnamon-and-sugar-french-waffle-toast,1 cup milk,1,cups,,milk,
cinnamon-chai-baked-french-toast,1 cup market pantry\u2122 milk,1,cups,,milk,
cinnamon-raisin-stuffed-french-toast,3 tablespoons milk,3,tablespoons,,milk,
crispy-baked-french-toast,1 1/4 cups milk,0.25,cups,,milk,
crispy-french-toast,1/2 cup fat-free milk,0.5,cups,,milk,
crispy-french-toast,1 cup milk,1,cups,,milk,
crunchy-baked-french-toast,1/4 cup milk,0.25,cups,,milk,
crunchy-stuffed-french-toast,1/2 cup milk,0.5,cups,,milk,
cutters-french-toast,1 cup 1% fat milk,1,cups,,milk,
deep-fried-french-toast,2 cups milk,2,cups,,milk,
easy-baked-banana-french-toast,1 3/4 cups milk,0.75,cups,,milk,
easy-french-toast,3/4 cup milk,0.75,cups,,milk,
easy-french-toast-waffles,1/2 cup whole milk,0.5,cups,,milk,
easy-oven-baked-french-toast-with-raisin-syrup,1/2 cup milk,0.5,cups,,milk,
easy-pina-colada-french-toast,2/3 cup milk,0.67,cups,,milk,
family-style-french-toast,1 3/4 cups milk,0.75,cups,,milk,
fantastic-french-toast,1/4 cup milk,0.25,cups,,milk,
fluffy-french-toast,1 cup milk,1,cups,,milk,
freezer-french-toast,1 cup milk,1,cups,,milk,
french-toast-and-spam-sandwiches,1/2 cup milk,0.5,cups,,milk,
french-toast-apple-cobbler,1/2 cup milk,0.5,cups,,milk,
french-toast-corners,2/3 cup milk,0.67,cups,,milk,
french-toast-cups-topped-with-nutella,3/4 cup low fat milk (2% or less m. f.),0.75,cups,,milk,
french-toast-fruit-kabobs-with-dip,1 tablespoon milk,1,tablespoons,,milk,
french-toast-i,2/3 cup milk,0.67,cups,,milk,
french-toast-ii,3/4 cup milk,0.75,cups,,milk,
french-toast-souffle,1 1/2 cups milk,0.5,cups,,milk,
french-toast-with-almonds,1 cup fat-free milk,1,cups,,milk,
french-toast-with-peanut-butter-maple-syrup,2 tablespoons milk,2,tablespoons,,milk,
french-toasted-mozzarella-and-prosciutto-sandwiches,2 tablespoons milk,2,tablespoons,,milk,
fruity-french-toast-sandwiches,1 1/2 cups milk,0.5,cups,,milk,
german-french-toast,1/2 cup milk,0.5,cups,,milk,
gingerbread-french-toast,1/2 cup milk,0.5,cups,,milk,
granola-peanut-butter-french-toast,1/4 cup milk,0.25,cups,,milk,
ham-and-provolone-stuffed-french-toast,1/4 cup milk,0.25,cups,,milk,
holiday-morning-french-toast,1 1/2 cups milk,0.5,cups,,milk,
incredibly-sweet-and-aromatic-french-toast,2 cups milk,2,cups,,milk,
italian-french-toast,1/2 cup milk,0.5,cups,,milk,
jacks-french-toast,1 cup milk,1,cups,,milk,
karens-baked-banana-stuffed-french-toast,1/2 cup milk,0.5,cups,,milk,
kerrys-french-toast,1/4 cup milk,0.25,cups,,milk,
lemon-cream-stuffed-french-toast-with-streusel-topper-and-fresh-blueberries,2 cups milk,2,cups,,milk,
lorena-garcias-crispy-french-toast,1 cup 1% low-fat milk,1,cups,,milk,
made-over-french-toast-with-spiced-pears,1/3 cup milk,0.33,cups,,milk,
make-ahead-cinnamon-french-toast,1 1/4 cups milk,0.25,cups,,milk,
make-ahead-french-toast,1 1/2 cups milk,0.5,cups,,milk,
mascarpone-stuffed-french-toast-with-peaches,3/4 cup milk,0.75,cups,,milk,
mccormick-stuffed-french-toast,1 cup milk,1,cups,,milk,
no-fry-french-toast,3/4 cup fat free milk,0.75,cups,,milk,
nutella-stuffed-french-toast,1/4 cup milk,0.25,cups,,milk,
oo-la-la-french-toast-strata,2/3 cup nonfat milk,0.67,cups,,milk,
orange-pecan-french-toast,1/2 cup 2% milk,0.5,cups,,milk,
original-recipe-french-toast,1/2 cup milk,0.5,cups,,milk,
oven-baked-caramel-french-toast,1 1/2 cups milk,0.5,cups,,milk,
overnight-apple-cinnamon-french-toast,1 1/2 cups milk,0.5,cups,,milk,
overnight-blueberry-french-toast,2 cups milk,2,cups,,milk,
overnight-caramel-french-toast,1 1/2 cups milk,0.5,cups,,milk,
overnight-french-toast-i,2 cups milk,2,cups,,milk,
overnight-french-toast-ii,1 1/2 cups milk,0.5,cups,,milk,
overnight-gingerbread-french-toast,"1/2 cup milk, or as needed",0.5,cups,,milk,
patriotic-french-toast,2 cups milk,2,cups,,milk,
pbj-french-toast,1 cup milk,1,cups,,milk,
peach-french-toast,1 1/2 cups milk,0.5,cups,,milk,
peanut-butter-and-jelly-french-toast,3/4 cup milk,0.75,cups,,milk,
peanut-butter-french-toast,1/2 cup milk,0.5,cups,,milk,
pecan-french-toast,1/3 cup milk,0.33,cups,,milk,
pineapple-french-toast,1 cup reduced fat milk,1,cups,,milk,
pineapple-sage-scented-challah-french-toast,"1/2 cup 1% milk, divided",0.5,cups,,milk,
pineapple-stuffed-french-toast,1 cup whole milk,1,cups,,milk,
poppy-seed-french-toast,2 cups milk,2,cups,,milk,
portuguese-bread-french-toast,4 cups milk,4,cups,,milk,
raspberry-cheesecake-stuffed-french-toast,1 cup milk,1,cups,,milk,
raspberry-stuffed-french-toast-with-custard-sauce,"5 cups fat-free milk, divided",5,cups,,milk,
red-kisses-french-toast,2 tablespoons milk,2,tablespoons,,milk,
savory-parmesan-french-toast,"1/4 cup milk, ground black pepper to taste",0.25,cups,,milk,
simple-french-toast-in-a-cup,1/4 cup milk,0.25,cups,,milk,
skiers-french-toast,1 1/2 cups milk,0.5,cups,,milk,
snow-day-french-toast,1/2 cup milk,0.5,cups,,milk,
stouffers-baked-french-toast,1 cup milk,1,cups,,milk,
strawberry-banana-french-toast,3/4 cup milk,0.75,cups,,milk,
strawberry-cheesecake-french-toast,1 cup milk,1,cups,,milk,
