title,ingr_full,ingr_nums,ingr_cnt,ingr_qnt,ingr_units,ingr_num_total,ingr_wrds,ingr_wrds_cln
pumpkin-french-toast,1 pinch ground nutmeg,1,1,,pinches,1.0,ground nutmeg,nutmeg
pumpkin-french-toast,8 slices whole wheat bread,8,8,,slices,8.0,whole wheat bread,wheat bread
pumpkin-french-toast,2 teaspoons butter,2,2,,teaspoons,2.0,butter,butter
sweet-potato-french-toast,1/4 cup mashed sweet potatoes,1/4,1/4,,cups,0.25,mashed sweet potatoes,mashed sweet potatoes
sweet-potato-french-toast,4 eggs,4,4,,,4.0,eggs,eggs
sweet-potato-french-toast,1/8 teaspoon ground cinnamon,1/8,1/8,,teaspoons,0.13,ground cinnamon,cinnamon
sweet-potato-french-toast,1/8 teaspoon ground nutmeg,1/8,1/8,,teaspoons,0.13,ground nutmeg,nutmeg
sweet-potato-french-toast,8 slices whole wheat bread,8,8,,slices,8.0,whole wheat bread,wheat bread
vanilla-banana-french-toast,2 eggs,2,2,,,2.0,eggs,eggs
vanilla-banana-french-toast,3/4 teaspoon vanilla extract,3/4,3/4,,teaspoons,0.75,vanilla extract,vanilla extract
vanilla-banana-french-toast,1 tablespoon ground cinnamon,1,1,,tablespoons,1.0,ground cinnamon,cinnamon
vanilla-banana-french-toast,2 1/4 teaspoons white sugar,2 1/4,2,,teaspoons,2.0,white sugar,white sugar
vanilla-banana-french-toast,2 slices bread,2,2,,slices,2.0,bread,bread
vanilla-banana-french-toast,"1 banana, sliced",1,1,,,1.0,banana sliced,banana
whole-grain-french-toast-with-blackberry-compote,2 (6 ounce) containers fresh blackberries,2 6,,,ounces,,containers fresh blackberries,containers blackberries
whole-grain-french-toast-with-blackberry-compote,1 tablespoon honey (optional),1,1,,tablespoons,1.0,honey optional,honey
whole-grain-french-toast-with-blackberry-compote,"1 egg, separated",1,1,,,1.0,egg separated,egg separated
whole-grain-french-toast-with-blackberry-compote,1 egg white,1,1,,,1.0,egg white,egg white
whole-grain-french-toast-with-blackberry-compote,1/4 teaspoon ground nutmeg,1/4,1/4,,teaspoons,0.25,ground nutmeg,nutmeg
whole-grain-french-toast-with-blackberry-compote,1/4 teaspoon ground cinnamon,1/4,1/4,,teaspoons,0.25,ground cinnamon,cinnamon
whole-grain-french-toast-with-blackberry-compote,1/4 teaspoon ground ginger,1/4,1/4,,teaspoons,0.25,ground ginger,ginger
whole-grain-french-toast-with-blackberry-compote,5 slices whole-grain bread,5,5,,slices,5.0,whole bread,bread
