Title,Ingredients
french-toast-i,"6 thick slices bread
 2 eggs
 2/3 cup milk
 1/4 teaspoon ground cinnamon (optional)
 1/4 teaspoon ground nutmeg (optional)
 1 teaspoon vanilla extract (optional), salt to taste"
snow-day-french-toast,"2 eggs
 1/2 cup milk
 1/4 teaspoon salt
 1/2 teaspoon ground nutmeg
 6 slices raisin bread
 2 tablespoons butter
 1 cup white sugar"
skiers-french-toast,"2 tablespoons light corn syrup
 1/2 cup butter
 1 cup packed brown sugar
 1 (1 pound) loaf unsliced white bread, with crust trimmed
 5 eggs
 1 1/2 cups milk
 1 tablespoon vanilla extract
 1/4 teaspoon salt"
poppy-seed-french-toast,"3 tablespoons poppy seeds
 3 eggs
 2 cups milk
 1 teaspoon vanilla extract
 1 pinch ground nutmeg
 2 tablespoons white sugar
 12 thick slices white bread
 2 tablespoons butter"
portuguese-bread-french-toast,"5 eggs
 4 cups milk
 1/4 cup white sugar
 1/2 teaspoon ground cinnamon
 1/2 teaspoon freshly grated nutmeg
 1 teaspoon orange zest
 1 (1 pound) loaf portuguese sweet bread
 2 tablespoons unsalted butter, cubed"
a-surprise-inside-french-toast,"6 (2 inch thick) slices french bread
 1/4 cup ricotta cheese
 1/4 cup cottage cheese, whipped
 2 tablespoons lowfat cream cheese
 2 teaspoons white sugar
 2 teaspoons vanilla extract
 3 cups egg substitute
 1/4 cup evaporated milk"
french-toast-ii,"4 eggs
 3/4 cup milk
 3 tablespoons brown sugar
 1 teaspoon ground nutmeg
 12 slices white bread
 1 tablespoon ground cinnamon"
applesauce-french-toast,"2 eggs
 3/4 cup milk
 1 teaspoon ground cinnamon
 2 tablespoons white sugar
 1/4 cup applesauce
 6 slices bread"
italian-french-toast,"6 eggs
 1/2 cup milk
 2 teaspoons dried parsley
 12 slices white sandwich bread
 6 ounces mozzarella cheese
 1 cup vegetable oil for frying
 1 clove garlic, crushed"
fluffy-french-toast,"1/4 cup all-purpose flour
 1 cup milk
 1 pinch salt
 3 eggs
 1/2 teaspoon ground cinnamon
 1 teaspoon vanilla extract
 1 tablespoon white sugar
 12 thick slices bread"
crispy-french-toast,"8 cups vegetable oil for deep-frying
 6 thick slices white bread
 2 eggs
 1 cup milk
 1 tablespoon white sugar
 1 teaspoon ground cinnamon
 1 teaspoon vanilla extract
 2 cups cornflakes cereal"
easy-french-toast,"1 egg
 3/4 cup milk
 1 tablespoon ground cinnamon
 1 teaspoon vanilla extract
 1 pinch salt
 2 slices bread"
