Title,Ingredients
sweet-french-toast,"3 eggs
 1/4 cup milk
 2 1/2 tablespoons maple syrup
 1 teaspoon vanilla extract
 1 teaspoon ground cinnamon
 1/3 cup cornflakes cereal, crumbled
 8 slices white bread
 2 tablespoons confectioners' sugar for dusting"
three-cheese-stuffed-french-toast,"3/4 cup shredded mozzarella cheese
 4 ounces cream cheese, softened
 1 tablespoon ricotta cheese
 3 tablespoons apricot jam
 8 (2 inch thick) slices french bread
 2 eggs, lightly beaten
 1/2 cup milk
 1 cup cornflakes cereal crumbs
 2 tablespoons butter
 2 cups apricot nectar
 1/4 cup butter
 2 tablespoons white sugar
 2 teaspoons ground ginger
 2 cups sliced fresh peaches
 1/4 cup confectioners' sugar for dusting"
french-toast-casserole,"5 cups bread cubes
 4 eggs
 1 1/2 cups milk
 1/4 cup white sugar, divided
 1/4 teaspoon salt
 1 teaspoon vanilla extract
 1 tablespoon margarine, softened
 1 teaspoon ground cinnamon"
ultimate-french-toast,"4 eggs
 2 tablespoons milk
 1/4 teaspoon ground cinnamon
 8 slices bread"
blueberry-french-toast,"1 (1 pound) loaf italian bread, cut into 1-inch cubes
 1 (8 ounce) package cream cheese, diced
 1 cup blueberries
 12 eggs
 2 cups milk
 1/3 cup maple syrup
 1 cup white sugar
 2 tablespoons cornstarch
 1 cup water
 1 cup blueberries
 1 tablespoon butter"
pecan-french-toast,"4 eggs
 2/3 cup orange juice
 1/3 cup milk
 1/4 cup white sugar
 1/4 teaspoon nutmeg
 1/4 teaspoon vanilla extract
 1/2 (1 pound) loaf italian bread, cut into 1 inch slices
 1/3 cup butter, melted
 1/2 cup chopped pecans
 2 tablespoons grated orange zest"
french-toast-corners,"6 slices white bread
 2 eggs
 2/3 cup milk
 1 teaspoon vanilla extract
 1/2 teaspoon ground cinnamon
 1 tablespoon butter"
overnight-french-toast-ii,"2 tablespoons corn syrup
 1/2 cup butter
 1 cup packed brown sugar
 1 (1 pound) loaf french bread, sliced
 5 eggs
 1 1/2 cups milk
 1 teaspoon vanilla extract
 1/4 teaspoon salt"
apple-raisin-french-toast-strata,"1 (1 pound) loaf cinnamon raisin bread, cubed
 1 (8 ounce) package cream cheese, diced
 1 cup diced peeled apples
 8 eggs
 2 1/2 cups half-and-half cream
 6 tablespoons butter, melted
 1/4 cup maple syrup"
hawaiian-french-toast,"3 eggs, separated
 1/2 teaspoon vanilla extract
 1 teaspoon grated orange zest
 1/2 teaspoon rum flavored extract
 1 tablespoon water
 1 tablespoon honey
 1 (1 pound) loaf hawaiian sweet bread, thickly sliced
 1 (8 ounce) can crushed pineapple, with juice
 1 (3 ounce) can mandarin orange segments, drained
 3 tablespoons honey
 1 cup maple syrup"
stuffed-french-toast-i,"1 (1 pound) loaf french bread
 1 (8 ounce) package cream cheese
 4 eggs
 1/4 cup irish cream liqueur
 1 teaspoon vanilla extract
 1/4 teaspoon ground cinnamon
 1/4 teaspoon ground nutmeg
 2 tablespoons butter
 1/3 cup orange marmalade"
caramelized-french-toast,"4 tablespoons butter, divided
 6 eggs
 1/2 cup milk
 1/8 teaspoon salt
 8 slices bread
 1 cup brown sugar
 1/2 cup water"
stuffed-french-toast-ii,"8 slices oatnut bread
 1/2 (8 ounce) package cream cheese, softened
 1/2 cup seedless raspberry jam
 5 eggs, beaten
 1/4 cup milk
 1 1/2 teaspoons almond extract
 1 tablespoon butter"
kerrys-french-toast,"1 cup softened cream cheese
 1/2 cup brown sugar
 1/4 teaspoon ground allspice
 1/2 teaspoon ground nutmeg
 1/2 teaspoon ground cinnamon
 8 (1/2 inch) slices egg bread
 6 extra large eggs, beaten
 1/4 cup milk
 1/4 cup butter"
creme-brulee-french-toast,"1/2 cup unsalted butter
 1 cup packed brown sugar
 2 tablespoons corn syrup
 6 (1-inch thick) slices french bread
 5 eggs
 1 1/2 cups half-and-half cream
 1 teaspoon vanilla extract
 1 teaspoon brandy-based orange liqueur (such as grand marnier\xae)
 1/4 teaspoon salt"
almond-french-toast,"1 cup slivered almonds
 3 eggs
 1 cup milk
 3 tablespoons all-purpose flour
 1/4 teaspoon salt
 1/2 teaspoon baking powder
 1/2 teaspoon almond extract
 1 teaspoon vanilla extract
 12 thick slices french bread
 3 tablespoons canola oil
 3 tablespoons butter, confectioners' sugar for dusting"
banana-stuffed-french-toast,"1 (1 pound) loaf french bread, cut into 1 inch slices
 2 bananas, peeled and sliced
 3 eggs, beaten
 1 teaspoon water
 1 tablespoon milk
 1 teaspoon vanilla extract
 1 tablespoon orange liqueur
 1 teaspoon grated orange zest
 1/4 cup butter, confectioners' sugar for dusting"
sunny-orange-french-toast,"1 1/2 cups cream of wheat cereal
 3 eggs, slightly beaten
 3/4 teaspoon grated orange peel
 1 cup orange juice
 3 tablespoons granulated sugar
 1 teaspoon vanilla
 12 slices firm white bread (3/4-inch thick)
 1/4 cup margarine or butter , divided, powdered sugar (optional)"
stuffed-french-toast-with-fresh-berry-topping,"2 cups mixed fresh berries (strawberries, raspberries, blueberries and/or blackberries)
 2 tablespoons granulated sugar
 2/3 cup low-fat ricotta cheese
 1/4 cup strawberry preserves
 3 large eggs
 2/3 cup nestle\xae carnation\xae evaporated fat free milk
 2 tablespoons packed brown sugar
 2 teaspoons vanilla extract
 12 slices (about 3/4-inch thick) french bread, vegetable oil, powdered sugar, maple syrup, heated"
stouffers-baked-french-toast,"1 (12 ounce) package stouffer's\xae frozen harvest apples, defrosted
 2 tablespoons butter or margarine
 1/3 cup packed dark brown sugar
 3 eggs
 1 cup milk
 1/2 teaspoon vanilla extract
 6 slices bread"
no-fry-french-toast,"nonstick cooking spray
 1 slightly beaten egg
 1 slightly beaten egg white
 3/4 cup fat free milk
 1 teaspoon vanilla extract
 1/8 teaspoon ground cinnamon
 8 (1 inch thick) slices firm-textured french bread
 1/4 teaspoon finely shredded orange peel
 1/2 cup orange juice
 1 tablespoon honey
 1 teaspoon cornstarch
 1/8 teaspoon ground cinnamon
 1 tablespoon powdered sugar (optional)"
peanut-butter-and-jelly-french-toast,"12 slices bread
 3/4 cup peanut butter
 6 tablespoons jelly or jam
 3 eggs
 3/4 cup milk
 1/4 teaspoon salt
 2 tablespoons butter or margarine"
